sponsor_name,ticker,label,confidence,notes
"ASKA Pharmaceutical Co., Ltd.",ASKPF,correct,0.8328,"from yahoo finance, https://finance.yahoo.com/quote/4886.T/, we see the ticker name ""ASKA Pharmaceutical Holdings Co.,Ltd."". The clinical trial NCT03931915 mentions endometriosis and has the sponsor ""ASKA Pharmaceutical Co., Ltd."". The company researches, develops, manufactures, and markets pharmaceutical products in the areas of endocrinology, obstetrics and gynecology, and urology."
AbbVie,ABBV,correct,0.8323,"on https://finance.yahoo.com/quote/ABBV/, the ticker name is ""AbbVie Inc."""
Acusphere,ACUS,correct,0.8037,"on yahoo finance, the ticker name is ""Acusphere, Inc."" and operates as a specialty pharmaceutical company that develops and commercializes cardiovascular drugs."
Abbott Products,ABT,correct,0.7984,"+6 Abbott Laboratories GmbH represents the German operations of the American healthcare multinatig in diagnostics, medical devices, nutritionals, and branded generic pharmaceuticals. the clinical trial NCT01747330 has a study director that works there and the sponsor name is Abbott Products."
Adagene Inc,ADAG,correct,0.761,"the yahoo finance page https://finance.yahoo.com/quote/ADAG/ has the ticker name ""Adagene Inc."""
Adaptive Biotechnologies,ADPT,correct,0.7533,"the yahoo finance page https://finance.yahoo.com/quote/ADPT/ has the ticker name ""Adaptive Biotechnologies Corporation""."
AKARI Therapeutics,AKTX,correct,0.7437,"Akari Therapeutics, Plc develops next-generation antibody-drug conjugates (ADC) for cancer-killing toxins."
AMES Technology,ATLO,incorrect,0.7325,"from the ticker page on yahoo finance: Ames National Corporation operates as a multi-bank holding company that provides banking products and services primarily in Boone, Clarke, Hancock, Marshall, Polk, Story, Taylor, and Union Counties in central, north-central, and south-central Iowa."
"Adamas Pharmaceuticals, Inc.",ADAM,incorrect,0.7259,"Adamas Trust, Inc. acquires, invests in, finances, and manages mortgage-related single-family and multi-family residential assets in the United States."
"1ST Biotherapeutics, Inc.",ARQT,incorrect,0.7111,"1ST Biotherapuetics, Inc. is also known as 1STBIO and are developing a portfolio of drug candidates in the field of Neurodegenerative Disease, Immuno-Oncology and Rare Disease as well as developing Genomic-based target discovery platform for neurodegenerative target and biomarker discovery. Arcutis works mainly with dermatological products."
Acorn Biolabs Inc.,ACFN,incorrect,0.7065,"Acorn Energy, Inc., through its subsidiary, develops and markets wireless remote monitoring and control systems in the United States and internationally."
Acrotech Biopharma Inc.,RGTLF,incorrect,0.6929,two distinct websites https://acrotechbiopharma.com/ and https://argentbiopharma.com/ and are located in different states.
Adagio Medical,ADGM,correct,0.6765,"yahoo finance page links to https://adagiomedical.com/, where the name of the company is listed as Adagio Medical Holdings Inc and Adagio Medical Inc."
"Active Life Scientific, Inc.",AHFD,incorrect,0.6716,"Active Life Scientific, Inc. (ALSI), founded in 2007 and based in Santa Barbara, CA, is a medical technology company specializing in innovative,, radiation-free bone health assessment. Active Health Foods, Inc. (OTC: AHFD) is a California-based company founded in 2008, initially focused on developing organic energy bars and beverages like Active X Bars. As of 2026, the company operates primarily as a shell company."
"Adynxx, Inc.",ADYX,correct,0.9754,Confirmed match
Adial Pharmaceuticals,ADIL,correct,0.9292,Confirmed match
"Adhera Health, Inc.",ATRX,incorrect,0.9091,"Adhera Therapeutics, Inc., a biotech company, focuses on the discovery, development, and commercialization of small molecule drugs. The company is developing MLR-1019 for the treatment of Parkinson's disease; and MLR -1023 to treat Type 1 diabetes. The company was formerly known as Marina Biotech, Inc. and changed its name to Adhera Therapeutics, Inc. in October 2018. Adhera Therapeutics, Inc. is based in Baton Rouge, Louisiana. Adhera Health offers the Adhera Caring Digital Program (ACDP) is a mobile-first, AI-enabled solution designed to support families managing pediatric chronic conditions."
"Advanced Life Sciences, Inc.",ACHV,incorrect,0.8957,Different companies
"Aditxt, Inc.",ADTX,correct,0.8834,Confirmed match
"Aduro Biotech, Inc.",ADUR,incorrect,0.7401,"Aduro Biotech, Inc. was a Berkeley, California-based clinical-stage immunotherapy company focused on discovering treatments for cancer and autoimmune diseases using LADD and STING platforms. Founded in 2000, it aimed to harness the body's immune system. In 2020, Aduro completed a merger with Chinook Therapeutics, Inc. and subsequently changed its name.Aduro Clean Technologies Inc. engages in developing water-based chemical recycling technologies."
